书名,作者,价格,出版社
红与黑（高晓松推荐   法国国家,果麦文化 出品；司汤达,41.2,天津人民出版社
信谊绘本世界精选图画书：逃家小兔,玛格丽特·怀兹·布朗,33.8,明天出版社
不能承受的生命之轻（新）,米兰·昆德拉,30.7,上海译文出版社
作家榜经典：月亮与六便士（2018京东小说销量桂冠！2017豆瓣阅读销量桂冠！上海国际学校指定必读版）,毛姆,35.8,浙江文艺出版社
洋洋兔童书·我们的北京：画给孩子的古都探秘之旅,洋洋兔,38.3,群言出版社
夏洛的网（中文版） 三年级推荐课外阅读书,E·B·怀特,19.5,上海译文出版社
人间至美是清欢（诺贝尔文学奖获奖作品）,尤金·奥尼尔,29.88,中国文联出版社
终身成长：重新定义成功的思维模式,卡罗尔·德韦克,37.4,江西人民出版社
零基础学Python（全彩版）,明日科技,56.4,吉林大学出版社
邦臣小红花·我的第一套启蒙认知贴纸书（2-5岁 套装全8册）,北京小红花图书工作室,53.2,中国人口出版社
犹太人智慧全书,周乐,13.6,辽海出版社
晚清民国时期中国名胜古迹图集（全本精装版 套装共12册）,常盘大定,1306.8,中国画报出版社
2019第十届茅盾文学奖获奖作品：人世间（套装共3册）,梁晓声,142.8,中国青年出版社
国际绘本大师芭芭拉·库尼：花婆婆（启发童书馆出品）二年级推荐课外阅读书,芭芭拉·库尼,25.4,河北教育出版社
显微镜下的大明（马伯庸新作）,马伯庸,49.4,湖南文艺出版社
可爱的物理（全8册 重力、摩擦力、浮力、声音、磁铁、热的传递、水的状态、弹性与弹力-恐龙小Q）,谢茹,54.5,北京日报出版社
中国通史（赠特制书签 京东定制版）,钱穆,49.4,天地出版社
数学星球 让孩子爱上数学的趣味绘本,卡莉娜·卢瓦尔,55.1,中国人口出版社
全40册儿童绘本早教启蒙故事书3-6岁宝宝性格情商好习惯培养幼儿园正版适合小中班益智配图睡前故事,,69.8,//
【到手价34.8】诺贝尔文学奖6册 巴比特 局外人 邪恶之路 荒原狼等外国小说世界名著畅销,,134.8,江苏凤凰美术出版社
【超级秒杀】全套10册鬼谷子正版全集狼道墨菲定律人性的弱点羊皮卷口才三绝为人三会修心三不情商课,鬼谷子,58.8,中国文史出版社
365夜睡前故事（套装共4册）彩图注音 3-6岁晚安故事  成长绘本 亲子阅读,崔钟雷,59.1,黑龙江美术出版社
正版20册 人性的弱点狼道鬼谷子全集羊皮卷墨菲定律九型人格读心术口才三绝修心三不为人三会成功学,,71.8,吉林文史出版社
历史的温度（套装共4册）,张玮,160.5,中信出版集团股份有限公司
你想活出怎样的人生（影响宫崎骏一生的小说，动画大师高龄复出制作同名电影，即将上映！）,吉野源三郎,49.5,南海出版公司
路遥：早晨从中午开始,路遥,20.9,北京十月文艺出版社
洋洋兔童书·我们的节日：画给孩子的中国传统节日,洋洋兔,34.5,群言出版社
中国科幻基石丛书：三体（1）地球往事/中国科幻银河奖特别获奖作品,刘慈欣,21.9,重庆出版社
中华上下五千年 小学生新课标必读名著儿童注音美绘本 小笨熊,崔钟雷,55.6,黑龙江省美术出版社
读懂一本书：樊登读书法（京东尊享思维导图）,樊登,44.3,中信出版集团
STEAM课程水先生的奇妙之旅 创意玩科学实验套装（套装共16本，32个有趣科学小实验）,奥古斯汀·特拉尼,330.0,海燕出版社
罗尔德•达尔作品典藏（13本套装）, 罗尔德·达尔,275.2,明天出版社
杨红樱笑猫日记（新套装24册）,杨红樱,399.9,明天出版社
开车出发系列绘本 第一辑（套装共7册）新版,间濑直方,133.0,二十一世纪出版社
目送（插图新版）,龙应台,32.3,广西师范大学出版社
犹太人智慧全书,周乐,13.6,辽海出版社
晚清民国时期中国名胜古迹图集（全本精装版 套装共12册）,常盘大定,1306.8,中国画报出版社
2019第十届茅盾文学奖获奖作品：人世间（套装共3册）,梁晓声,142.8,中国青年出版社
国际绘本大师芭芭拉·库尼：花婆婆（启发童书馆出品）二年级推荐课外阅读书,芭芭拉·库尼,25.4,河北教育出版社
显微镜下的大明（马伯庸新作）,马伯庸,49.4,湖南文艺出版社
可爱的物理（全8册 重力、摩擦力、浮力、声音、磁铁、热的传递、水的状态、弹性与弹力-恐龙小Q）,谢茹,54.5,北京日报出版社
